engine,n,rate_stored,rate_win200,mean_stored_len,rows_longer_than_window,delta_pp
ChatGPT,15168,17.167721518987342,17.167721518987342,200.0,0,0.0
Claude,15034,25.748303844618864,25.748303844618864,200.0,0,0.0
Gemini,15355,1.8560729404102898,1.8560729404102898,195.6666232497558,0,0.0
Grok,1118,29.60644007155635,29.60644007155635,199.98121645796064,0,0.0
Groq,14208,8.51632882882883,8.51632882882883,200.0,0,0.0
Perplexity,7741,74.87404728071309,52.03462085001937,667.9792016535331,7435,-22.83942643069371
