engine,n,preamble_n,preamble_share_pct,preamble_ci_lo,preamble_ci_hi,delta_200_full_pp,mean_len_full,median_len_full,median_first_offset,engine_class
ChatGPT,192,0,0.0,1.734723475976807e-16,1.961514606675411,36.458333333333336,1894.6979166666667,1894.5,245.0,parametric
Claude,192,0,0.0,1.734723475976807e-16,1.961514606675411,41.14583333333334,1194.4375,1130.5,241.0,parametric
Gemini,768,280,36.45833333333333,33.129498838731955,39.92196171408601,30.72916666666666,1895.30078125,452.0,549.5,parametric
Grok,768,74,9.635416666666668,7.744938879382442,11.927683922286512,55.72916666666667,2014.56640625,1991.0,311.5,parametric
Perplexity,305,14,4.590163934426229,2.7536660721791373,7.556302978699005,22.950819672131146,556.2459016393443,528.0,114.0,retrieval-augmented
