engine,vertical,lang,n,preamble_share_pct,rate_200_pct,rate_full_pct,delta_pp,mean_log_len,small_n
ChatGPT,fintech,en,24,0.0,20.833333333333336,66.66666666666666,45.83333333333333,3.231998247275611,1
ChatGPT,fintech,pt,24,0.0,16.666666666666664,54.166666666666664,37.5,3.185438036016844,1
ChatGPT,saude,en,24,0.0,8.333333333333332,29.166666666666668,20.833333333333336,3.173652007015774,1
ChatGPT,saude,pt,24,0.0,4.166666666666666,29.166666666666668,25.0,3.1250721751656414,1
ChatGPT,tecnologia,en,24,0.0,37.5,66.66666666666666,29.166666666666664,3.234465269969968,1
ChatGPT,tecnologia,pt,24,0.0,4.166666666666666,58.333333333333336,54.16666666666667,3.155497534085718,1
ChatGPT,varejo,en,24,0.0,29.166666666666668,62.5,33.33333333333333,3.2081588032604107,1
ChatGPT,varejo,pt,24,0.0,16.666666666666664,62.5,45.833333333333336,3.157475344223355,1
Claude,fintech,en,24,0.0,54.166666666666664,83.33333333333334,29.166666666666675,3.1184528787924997,1
Claude,fintech,pt,24,0.0,45.83333333333333,70.83333333333334,25.000000000000007,3.041742396196415,1
Claude,saude,en,24,0.0,8.333333333333332,58.333333333333336,50.0,3.113730234739243,1
Claude,saude,pt,24,0.0,16.666666666666664,54.166666666666664,37.5,3.006339734905524,1
Claude,tecnologia,en,24,0.0,4.166666666666666,54.166666666666664,49.99999999999999,3.087982660310813,1
Claude,tecnologia,pt,24,0.0,12.5,58.333333333333336,45.833333333333336,3.0169902450133232,1
Claude,varejo,en,24,0.0,33.33333333333333,83.33333333333334,50.0,3.097439323414657,1
Claude,varejo,pt,24,0.0,25.0,66.66666666666666,41.666666666666664,3.044928121719146,1
Gemini,fintech,en,96,33.33333333333333,6.25,41.66666666666667,35.41666666666667,2.883824360047105,0
Gemini,fintech,pt,96,29.166666666666668,0.0,32.29166666666667,32.29166666666667,2.8092839574326702,0
Gemini,saude,en,96,39.58333333333333,0.0,29.166666666666668,29.166666666666668,2.9162363278738144,0
Gemini,saude,pt,96,42.70833333333333,0.0,31.25,31.25,2.80871993736999,0
Gemini,tecnologia,en,96,41.66666666666667,0.0,32.29166666666667,32.29166666666667,2.8908295965124133,0
Gemini,tecnologia,pt,96,42.70833333333333,0.0,31.25,31.25,2.8143104954929314,0
Gemini,varejo,en,96,31.25,10.416666666666668,39.58333333333333,29.166666666666664,2.8724901779432095,0
Gemini,varejo,pt,96,31.25,4.166666666666666,29.166666666666668,25.0,2.770139934266273,0
Grok,fintech,en,96,0.0,63.541666666666664,94.79166666666666,31.25,3.2313788685473797,0
Grok,fintech,pt,96,5.208333333333334,52.083333333333336,91.66666666666666,39.58333333333333,3.234435960740688,0
Grok,saude,en,96,14.583333333333334,11.458333333333332,66.66666666666666,55.20833333333333,3.2186957089122217,0
Grok,saude,pt,96,13.541666666666666,11.458333333333332,78.125,66.66666666666666,3.208887802119463,0
Grok,tecnologia,en,96,16.666666666666664,7.291666666666667,76.04166666666666,68.75,3.2226466666673006,0
Grok,tecnologia,pt,96,16.666666666666664,4.166666666666666,81.25,77.08333333333334,3.2571760282803957,0
Grok,varejo,en,96,3.125,44.79166666666667,94.79166666666666,49.99999999999999,3.2288753485586934,0
Grok,varejo,pt,96,7.291666666666667,32.29166666666667,89.58333333333334,57.29166666666667,3.2306234399045386,0
Perplexity,fintech,en,44,0.0,70.45454545454545,86.36363636363636,15.909090909090907,2.7332491335142306,0
Perplexity,fintech,pt,45,0.0,71.11111111111111,84.44444444444444,13.33333333333333,2.714470410589836,0
Perplexity,saude,en,36,11.11111111111111,22.22222222222222,61.111111111111114,38.88888888888889,2.747434817047633,0
Perplexity,saude,pt,36,2.7777777777777777,66.66666666666666,91.66666666666666,25.0,2.7331027651649267,0
Perplexity,tecnologia,en,36,8.333333333333332,50.0,66.66666666666666,16.666666666666664,2.731011990026653,0
Perplexity,tecnologia,pt,36,16.666666666666664,25.0,55.55555555555556,30.555555555555557,2.750330462293382,0
Perplexity,varejo,en,36,0.0,50.0,80.55555555555556,30.555555555555557,2.7219194502562143,0
Perplexity,varejo,pt,36,0.0,69.44444444444444,86.11111111111111,16.666666666666675,2.6870685957858544,0
