series,cum_share_entities,cum_share_mentions
mentions_real_cohort,0.0,0.0
mentions_real_cohort,0.009009009009009009,0.0
mentions_real_cohort,0.018018018018018018,0.0
mentions_real_cohort,0.02702702702702703,0.0
mentions_real_cohort,0.036036036036036036,0.0
mentions_real_cohort,0.04504504504504504,0.0
mentions_real_cohort,0.05405405405405406,0.0
mentions_real_cohort,0.06306306306306306,0.0
mentions_real_cohort,0.07207207207207207,0.0
mentions_real_cohort,0.08108108108108109,0.0
mentions_real_cohort,0.09009009009009009,0.0
mentions_real_cohort,0.0990990990990991,0.0
mentions_real_cohort,0.10810810810810811,0.0
mentions_real_cohort,0.11711711711711711,0.0
mentions_real_cohort,0.12612612612612611,0.0
mentions_real_cohort,0.13513513513513514,0.0
mentions_real_cohort,0.14414414414414414,0.0
mentions_real_cohort,0.15315315315315314,0.0
mentions_real_cohort,0.16216216216216217,0.0
mentions_real_cohort,0.17117117117117117,0.0
mentions_real_cohort,0.18018018018018017,0.0
mentions_real_cohort,0.1891891891891892,0.0
mentions_real_cohort,0.1981981981981982,0.0
mentions_real_cohort,0.2072072072072072,0.0
mentions_real_cohort,0.21621621621621623,0.0
mentions_real_cohort,0.22522522522522523,0.0
mentions_real_cohort,0.23423423423423423,0.0
mentions_real_cohort,0.24324324324324326,0.0
mentions_real_cohort,0.25225225225225223,0.0
mentions_real_cohort,0.26126126126126126,0.0
mentions_real_cohort,0.2702702702702703,0.0
mentions_real_cohort,0.27927927927927926,0.0
mentions_real_cohort,0.2882882882882883,0.0
mentions_real_cohort,0.2972972972972973,0.0
mentions_real_cohort,0.3063063063063063,0.0
mentions_real_cohort,0.3153153153153153,0.0
mentions_real_cohort,0.32432432432432434,0.0
mentions_real_cohort,0.3333333333333333,0.0
mentions_real_cohort,0.34234234234234234,0.0
mentions_real_cohort,0.35135135135135137,0.0
mentions_real_cohort,0.36036036036036034,0.0
mentions_real_cohort,0.36936936936936937,0.0
mentions_real_cohort,0.3783783783783784,0.0
mentions_real_cohort,0.38738738738738737,0.0
mentions_real_cohort,0.3963963963963964,0.0
mentions_real_cohort,0.40540540540540543,0.0
mentions_real_cohort,0.4144144144144144,5.247415647793462e-05
mentions_real_cohort,0.42342342342342343,0.00010494831295586924
mentions_real_cohort,0.43243243243243246,0.00015742246943380384
mentions_real_cohort,0.44144144144144143,0.00020989662591173848
mentions_real_cohort,0.45045045045045046,0.00026237078238967306
mentions_real_cohort,0.4594594594594595,0.00036731909534554235
mentions_real_cohort,0.46846846846846846,0.00047226740830141157
mentions_real_cohort,0.4774774774774775,0.0005772157212572807
mentions_real_cohort,0.4864864864864865,0.0007871123471690193
mentions_real_cohort,0.4954954954954955,0.0009970089730807576
mentions_real_cohort,0.5045045045045045,0.0014168022249042348
mentions_real_cohort,0.5135135135135135,0.0018365954767277117
mentions_real_cohort,0.5225225225225225,0.002308862885029123
mentions_real_cohort,0.5315315315315315,0.0028336044498084695
mentions_real_cohort,0.5405405405405406,0.0034108201710657503
mentions_real_cohort,0.5495495495495496,0.004040510048800966
mentions_real_cohort,0.5585585585585585,0.004722674083014115
mentions_real_cohort,0.5675675675675675,0.005457312273705201
