engine,n_even,n_odd,days_even,days_odd,rate_even_pct,rate_odd_pct,diff_pp,fisher_p
ChatGPT,7759,7409,25,26,16.986725093439876,17.357268187339724,-0.3705430938998472,0.5465563061185748
Claude,7709,7325,25,26,25.424828122973146,26.088737201365188,-0.6639090783920387,0.36057872047483347
Gemini,8236,7119,26,26,1.7727051966974259,1.9525214215479703,-0.17981622485054444,0.43584960719603905
Grok,672,446,2,3,25.148809523809522,36.32286995515695,-11.174060431347426,7.697135305955287e-05
Perplexity,4062,3679,26,27,51.94485475135401,52.13373199238923,-0.18887724103522352,0.873332935922342
Groq,7564,6644,24,24,8.672659968270755,8.338350391330524,0.3343095769402324,0.4885107651509699
