engine,n_even,rate200_even_pct,ratefull_even_pct,days_even,n_odd,rate200_odd_pct,ratefull_odd_pct,days_odd,abs_diff_rate200_pp,abs_diff_ratefull_pp,splittable
ChatGPT,192,17.1875,53.645833333333336,2026-09-08,0,nan,nan,,nan,nan,0
Claude,192,25.0,66.14583333333334,2026-09-08,0,nan,nan,,nan,nan,0
Gemini,672,1.9345238095238095,28.422619047619047,"2026-09-06,2026-09-08",96,7.291666666666667,67.70833333333334,2026-09-07,5.357142857142858,39.28571428571429,1
Grok,672,25.148809523809522,82.88690476190477,"2026-09-06,2026-09-08",96,51.041666666666664,92.70833333333334,2026-09-07,25.892857142857142,9.82142857142857,1
Perplexity,288,52.43055555555556,76.04166666666666,"2026-09-06,2026-09-08",17,82.35294117647058,94.11764705882352,2026-09-07,29.922385620915023,18.075980392156865,1
