engine,n_cited_full,n_preamble,n_no_preamble,miss_rate_preamble_pct,miss_rate_no_preamble_pct,risk_difference_pp,fisher_p
ChatGPT,103,0,103,nan,67.96116504854369,nan,nan
Claude,127,0,127,nan,62.20472440944882,nan,nan
Gemini,256,121,135,98.34710743801654,86.66666666666667,11.680440771349865,0.00034814049668785256
Grok,646,74,572,91.8918918918919,62.93706293706294,28.954828954828958,8.20052844606853e-08
Perplexity,235,13,222,46.15384615384615,28.82882882882883,17.325017325017328,0.21510828134539323
