panel_rule,aggregation,geometric,arithmetic,harmonic,weighted,against_coverage,n
series,geometric,1.0,0.8701179417597328,0.9833837803987058,0.835549525101764,0.9819214248307683,66
series,arithmetic,0.8701179417597328,1.0,0.7877465817764325,0.9852624986953346,0.7839547424668305,66
series,harmonic,0.9833837803987058,0.7877465817764325,1.0,0.7524684270952927,0.9997286145446181,66
series,weighted,0.835549525101764,0.9852624986953346,0.7524684270952927,1.0,0.7482568592186671,66
recency,geometric,1.0,0.8778833107191316,0.9841770170128379,0.8441498799707755,0.9830802163589144,66
recency,arithmetic,0.8778833107191316,1.0,0.7964721845318861,0.9816720592839996,0.7938834100890417,66
recency,harmonic,0.9841770170128379,0.7964721845318861,1.0,0.7573948439620082,0.9997808061212335,66
recency,weighted,0.8441498799707755,0.9816720592839996,0.7573948439620082,1.0,0.7542195094035339,66
