engine,n,n_queries,rate_200_pct,rate_200_ci_lo,rate_200_ci_hi,rate_full_pct,rate_full_ci_lo,rate_full_ci_hi,delta_pp,delta_boot_ci_lo_pp,delta_boot_ci_hi_pp,mcnemar_gain,mcnemar_loss,mcnemar_p,design_effect,saturation_window,window_95pct_of_full,rows_longer_than_200,median_len_full,mean_len_full,dates
ChatGPT,192,192,17.1875,12.50822162512063,23.15402233551011,53.645833333333336,46.589890464799325,60.558749095130594,36.458333333333336,29.6875,43.22916666666667,70,0,1.6940658945086007e-21,0.9851668188458187,full,1200,192,1894.5,1894.6979166666667,2026-09-08
Claude,192,192,25.0,19.406065206654983,31.574692096682718,66.14583333333334,59.194016741707415,72.46424416655366,41.14583333333334,34.375,47.91666666666667,79,0,3.308722450212111e-24,0.9888581018872583,1200,1200,192,1130.5,1194.4375,2026-09-08
Gemini,768,192,2.604166666666667,1.692020103068395,3.9880918317945007,33.33333333333333,30.08958957971967,36.74297725451783,30.72916666666666,27.34375,33.984375,236,0,1.8111358157653425e-71,1.0544374630759872,full,full,390,452.0,1895.30078125,"2026-09-06,2026-09-07,2026-09-08"
Grok,768,192,28.385416666666668,25.31040287161771,31.675582241534062,84.11458333333334,81.36040358548664,86.52918617568348,55.72916666666667,50.130208333333336,61.588541666666664,428,0,2.8853058180580424e-129,2.7102547505635672,full,full,767,1991.0,2014.56640625,"2026-09-06,2026-09-07,2026-09-08"
Perplexity,305,96,54.09836065573771,48.48956105637779,59.60520707982454,77.04918032786885,72.01078423270704,81.41468546622836,22.950819672131146,16.831683168316832,29.605263157894733,70,0,1.6940658945086007e-21,1.8320208176537147,800,600,305,528.0,556.2459016393443,"2026-09-06,2026-09-07,2026-09-08"
