vertical,cum_share_entities,cum_share_mentions
fintech,0.0,0.0
fintech,0.037037037037037035,0.0
fintech,0.07407407407407407,0.0
fintech,0.1111111111111111,0.0
fintech,0.14814814814814814,0.0
fintech,0.18518518518518517,0.0
fintech,0.2222222222222222,0.0
fintech,0.25925925925925924,0.0
fintech,0.2962962962962963,0.0
fintech,0.3333333333333333,0.0
fintech,0.37037037037037035,0.0
fintech,0.4074074074074074,0.0
fintech,0.4444444444444444,0.00014084507042253522
fintech,0.48148148148148145,0.00042253521126760566
fintech,0.5185185185185185,0.0007042253521126761
fintech,0.5555555555555556,0.0022535211267605635
fintech,0.5925925925925926,0.004084507042253521
fintech,0.6296296296296297,0.006197183098591549
fintech,0.6666666666666666,0.011267605633802818
fintech,0.7037037037037037,0.018732394366197183
fintech,0.7407407407407407,0.03591549295774648
fintech,0.7777777777777778,0.062253521126760566
fintech,0.8148148148148148,0.09760563380281691
fintech,0.8518518518518519,0.14887323943661973
fintech,0.8888888888888888,0.2076056338028169
fintech,0.9259259259259259,0.2740845070422535
fintech,0.9629629629629629,0.35140845070422533
fintech,1.0,1.0
varejo,0.0,0.0
varejo,0.03571428571428571,0.0
varejo,0.07142857142857142,0.0
varejo,0.10714285714285714,0.0
varejo,0.14285714285714285,0.0
varejo,0.17857142857142858,0.0
varejo,0.21428571428571427,0.0
varejo,0.25,0.0
varejo,0.2857142857142857,0.0
varejo,0.32142857142857145,0.0
varejo,0.35714285714285715,0.0
varejo,0.39285714285714285,0.0
varejo,0.42857142857142855,0.0
varejo,0.4642857142857143,0.00015885623510722796
varejo,0.5,0.0003177124702144559
varejo,0.5357142857142857,0.0004765687053216839
varejo,0.5714285714285714,0.0011119936457505957
varejo,0.6071428571428571,0.0023828435266084196
varejo,0.6428571428571429,0.004924543288324067
varejo,0.6785714285714286,0.009213661636219221
varejo,0.7142857142857143,0.014614773629864972
varejo,0.75,0.027958697378872122
varejo,0.7857142857142857,0.05544082605242256
varejo,0.8214285714285714,0.09690230341540905
varejo,0.8571428571428571,0.14789515488482924
varejo,0.8928571428571429,0.19968228752978553
varejo,0.9285714285714286,0.30103256552819696
varejo,0.9642857142857143,0.6235107227958697
varejo,1.0,1.0
saude,0.0,0.0
saude,0.03571428571428571,0.0
saude,0.07142857142857142,0.0
saude,0.10714285714285714,0.0
saude,0.14285714285714285,0.0
saude,0.17857142857142858,0.0
saude,0.21428571428571427,0.0
saude,0.25,0.0
saude,0.2857142857142857,0.0
saude,0.32142857142857145,0.0
saude,0.35714285714285715,0.0
saude,0.39285714285714285,0.0
saude,0.42857142857142855,0.0
saude,0.4642857142857143,0.0014461315979754157
saude,0.5,0.005061460592913955
saude,0.5357142857142857,0.009399855386840203
saude,0.5714285714285714,0.014461315979754157
saude,0.6071428571428571,0.023138105567606652
saude,0.6428571428571429,0.041576283441793205
saude,0.6785714285714286,0.06579898770788142
saude,0.7142857142857143,0.09942154736080984
saude,0.75,0.13304410701373826
saude,0.7857142857142857,0.17064352856109907
saude,0.8214285714285714,0.21475054229934923
saude,0.8571428571428571,0.26428054953000724
saude,0.8928571428571429,0.33152566883586404
saude,0.9285714285714286,0.4410701373825018
saude,0.9642857142857143,0.7187274041937817
saude,1.0,1.0
tecnologia,0.0,0.0
tecnologia,0.03571428571428571,0.0
tecnologia,0.07142857142857142,0.0
tecnologia,0.10714285714285714,0.0
tecnologia,0.14285714285714285,0.0
tecnologia,0.17857142857142858,0.0
tecnologia,0.21428571428571427,0.0
tecnologia,0.25,0.0
tecnologia,0.2857142857142857,0.0
tecnologia,0.32142857142857145,0.0
tecnologia,0.35714285714285715,0.0
tecnologia,0.39285714285714285,0.0003453038674033149
tecnologia,0.42857142857142855,0.0010359116022099447
tecnologia,0.4642857142857143,0.003798342541436464
tecnologia,0.5,0.006906077348066298
tecnologia,0.5357142857142857,0.015193370165745856
tecnologia,0.5714285714285714,0.025552486187845305
tecnologia,0.6071428571428571,0.05041436464088398
tecnologia,0.6428571428571429,0.07803867403314917
tecnologia,0.6785714285714286,0.10600828729281768
tecnologia,0.7142857142857143,0.1388121546961326
tecnologia,0.75,0.1805939226519337
tecnologia,0.7857142857142857,0.2285911602209945
tecnologia,0.8214285714285714,0.3097375690607735
tecnologia,0.8571428571428571,0.3939917127071823
tecnologia,0.8928571428571429,0.4789364640883978
tecnologia,0.9285714285714286,0.5711325966850829
tecnologia,0.9642857142857143,0.6902624309392266
tecnologia,1.0,1.0
