panel_rule,component,var_log,contribution,n
series,coverage,4.360134427145145,0.7243313502846649,66
series,breadth,0.36948400191081854,0.18826927850913913,66
series,prominence,0.1882437880214278,0.08739937120619597,66
recency,coverage,4.242934214413649,0.7356524162979954,66
recency,breadth,0.30811140043132035,0.17483551147547327,66
recency,prominence,0.18935155995985323,0.08951207222653142,66
