engine,window_chars,cited_at_window,cited_on_full,recovery_fraction,recovery_pct
Gemini,850,142,256,0.5546875,55.46875
Gemini,900,147,256,0.57421875,57.421875
Gemini,950,150,256,0.5859375,58.59375
Gemini,1000,151,256,0.58984375,58.984375
Gemini,1100,158,256,0.6171875,61.71875
Gemini,1200,166,256,0.6484375,64.84375
Gemini,1300,175,256,0.68359375,68.359375
Gemini,1400,188,256,0.734375,73.4375
Gemini,1500,192,256,0.75,75.0
Gemini,1600,200,256,0.78125,78.125
Gemini,1700,212,256,0.828125,82.8125
Gemini,1800,217,256,0.84765625,84.765625
Gemini,1900,222,256,0.8671875,86.71875
Gemini,2000,229,256,0.89453125,89.453125
Gemini,2250,242,256,0.9453125,94.53125
Gemini,2500,245,256,0.95703125,95.703125
Gemini,3000,255,256,0.99609375,99.609375
Gemini,3500,256,256,1.0,100.0
Gemini,4000,256,256,1.0,100.0
Gemini,5000,256,256,1.0,100.0
Gemini,full,256,256,1.0,100.0
Grok,25,135,646,0.2089783281733746,20.897832817337463
Grok,50,136,646,0.21052631578947367,21.052631578947366
Grok,75,150,646,0.23219814241486067,23.219814241486066
Grok,100,164,646,0.25386996904024767,25.386996904024766
Grok,125,176,646,0.2724458204334365,27.24458204334365
Grok,150,188,646,0.29102167182662536,29.102167182662537
Grok,175,204,646,0.3157894736842105,31.57894736842105
Grok,200,218,646,0.33746130030959753,33.746130030959755
Grok,225,235,646,0.3637770897832817,36.37770897832817
Grok,250,262,646,0.4055727554179567,40.55727554179567
Grok,275,280,646,0.43343653250773995,43.343653250774
Grok,300,304,646,0.47058823529411764,47.05882352941176
Grok,350,347,646,0.5371517027863777,53.71517027863777
Grok,400,385,646,0.5959752321981424,59.59752321981424
Grok,450,421,646,0.651702786377709,65.17027863777089
Grok,500,440,646,0.6811145510835913,68.11145510835914
Grok,550,461,646,0.7136222910216719,71.36222910216719
Grok,600,471,646,0.7291021671826625,72.91021671826626
Grok,650,482,646,0.7461300309597523,74.61300309597523
Grok,700,497,646,0.7693498452012384,76.93498452012383
Grok,750,511,646,0.7910216718266254,79.10216718266254
Grok,800,519,646,0.8034055727554179,80.34055727554178
Grok,850,528,646,0.8173374613003096,81.73374613003097
Grok,900,539,646,0.8343653250773994,83.43653250773994
Grok,950,553,646,0.8560371517027864,85.60371517027863
Grok,1000,561,646,0.868421052631579,86.8421052631579
Grok,1100,572,646,0.8854489164086687,88.54489164086688
Grok,1200,579,646,0.8962848297213623,89.62848297213623
Grok,1300,588,646,0.9102167182662538,91.02167182662538
Grok,1400,597,646,0.9241486068111455,92.41486068111455
Grok,1500,602,646,0.9318885448916409,93.18885448916409
Grok,1600,607,646,0.9396284829721362,93.96284829721363
Grok,1700,613,646,0.9489164086687306,94.89164086687306
Grok,1800,618,646,0.9566563467492261,95.6656346749226
Grok,1900,627,646,0.9705882352941176,97.05882352941177
Grok,2000,633,646,0.9798761609907121,97.9876160990712
Grok,2250,640,646,0.9907120743034056,99.07120743034056
Grok,2500,642,646,0.9938080495356038,99.38080495356037
Grok,3000,643,646,0.9953560371517027,99.53560371517027
Grok,3500,646,646,1.0,100.0
Grok,4000,646,646,1.0,100.0
Grok,5000,646,646,1.0,100.0
Grok,full,646,646,1.0,100.0
Perplexity,25,40,235,0.1702127659574468,17.02127659574468
Perplexity,50,43,235,0.1829787234042553,18.29787234042553
Perplexity,75,49,235,0.20851063829787234,20.851063829787233
Perplexity,100,90,235,0.3829787234042553,38.297872340425535
Perplexity,125,117,235,0.4978723404255319,49.787234042553195
Perplexity,150,133,235,0.5659574468085107,56.59574468085107
Perplexity,175,145,235,0.6170212765957447,61.702127659574465
Perplexity,200,165,235,0.7021276595744681,70.2127659574468
Perplexity,225,176,235,0.7489361702127659,74.8936170212766
Perplexity,250,183,235,0.7787234042553192,77.87234042553192
Perplexity,275,191,235,0.8127659574468085,81.27659574468085
Perplexity,300,197,235,0.8382978723404255,83.82978723404256
Perplexity,350,207,235,0.8808510638297873,88.08510638297872
Perplexity,400,220,235,0.9361702127659575,93.61702127659575
Perplexity,450,226,235,0.9617021276595744,96.17021276595744
Perplexity,500,226,235,0.9617021276595744,96.17021276595744
Perplexity,550,229,235,0.9744680851063829,97.44680851063829
Perplexity,600,230,235,0.9787234042553191,97.87234042553192
Perplexity,650,232,235,0.9872340425531915,98.72340425531915
Perplexity,700,233,235,0.9914893617021276,99.14893617021276
Perplexity,750,234,235,0.9957446808510638,99.57446808510639
Perplexity,800,234,235,0.9957446808510638,99.57446808510639
Perplexity,850,235,235,1.0,100.0
Perplexity,900,235,235,1.0,100.0
Perplexity,950,235,235,1.0,100.0
Perplexity,1000,235,235,1.0,100.0
Perplexity,1100,235,235,1.0,100.0
Perplexity,1200,235,235,1.0,100.0
Perplexity,1300,235,235,1.0,100.0
Perplexity,1400,235,235,1.0,100.0
Perplexity,1500,235,235,1.0,100.0
Perplexity,1600,235,235,1.0,100.0
Perplexity,1700,235,235,1.0,100.0
Perplexity,1800,235,235,1.0,100.0
Perplexity,1900,235,235,1.0,100.0
Perplexity,2000,235,235,1.0,100.0
Perplexity,2250,235,235,1.0,100.0
Perplexity,2500,235,235,1.0,100.0
Perplexity,3000,235,235,1.0,100.0
Perplexity,3500,235,235,1.0,100.0
Perplexity,4000,235,235,1.0,100.0
Perplexity,5000,235,235,1.0,100.0
Perplexity,full,235,235,1.0,100.0
ALL,25,175,1367,0.12801755669348938,12.801755669348939
ALL,50,184,1367,0.1346013167520117,13.46013167520117
ALL,75,213,1367,0.15581565471836137,15.581565471836138
ALL,100,283,1367,0.20702267739575714,20.702267739575714
ALL,125,339,1367,0.24798829553767374,24.798829553767373
ALL,150,389,1367,0.28456474030724216,28.456474030724216
ALL,175,431,1367,0.3152889539136796,31.52889539136796
ALL,200,484,1367,0.35405998536942207,35.40599853694221
ALL,225,535,1367,0.3913679590343819,39.136795903438184
ALL,250,587,1367,0.429407461594733,42.9407461594733
ALL,275,642,1367,0.46964155084125825,46.96415508412583
ALL,300,691,1367,0.5054864667154353,50.54864667154353
ALL,350,786,1367,0.5749817117776153,57.49817117776153
ALL,400,866,1367,0.6335040234089246,63.350402340892465
ALL,450,934,1367,0.6832479882955377,68.32479882955377
ALL,500,980,1367,0.7168983174835406,71.68983174835407
ALL,550,1011,1367,0.7395757132406731,73.9575713240673
ALL,600,1032,1367,0.7549378200438918,75.49378200438917
ALL,650,1053,1367,0.7702999268471105,77.02999268471105
ALL,700,1074,1367,0.7856620336503292,78.56620336503292
ALL,750,1095,1367,0.8010241404535479,80.10241404535479
ALL,800,1106,1367,0.8090709583028529,80.90709583028529
ALL,850,1119,1367,0.8185808339429408,81.85808339429408
ALL,900,1136,1367,0.831016825164594,83.10168251645939
ALL,950,1155,1367,0.84491587417703,84.491587417703
ALL,1000,1164,1367,0.8514996342355523,85.14996342355523
ALL,1100,1187,1367,0.8683247988295537,86.83247988295537
ALL,1200,1204,1367,0.880760790051207,88.0760790051207
ALL,1300,1223,1367,0.894659839063643,89.4659839063643
ALL,1400,1247,1367,0.9122165325530358,91.22165325530358
ALL,1500,1256,1367,0.9188002926115582,91.88002926115581
ALL,1600,1270,1367,0.9290416971470373,92.90416971470373
ALL,1700,1288,1367,0.9422092172640819,94.22092172640819
ALL,1800,1298,1367,0.9495245062179956,94.95245062179956
ALL,1900,1313,1367,0.9604974396488661,96.04974396488662
ALL,2000,1326,1367,0.9700073152889539,97.00073152889539
ALL,2250,1346,1367,0.9846378931967813,98.46378931967813
ALL,2500,1351,1367,0.9882955376737381,98.82955376737381
ALL,3000,1362,1367,0.9963423555230432,99.63423555230432
ALL,3500,1367,1367,1.0,100.0
ALL,4000,1367,1367,1.0,100.0
ALL,5000,1367,1367,1.0,100.0
ALL,full,1367,1367,1.0,100.0
